start,trigger,gap_fill_pct,time_to_engage_ms,engage_rate_pct,overlap_pct,dead_air_pct,moshi_talk_pct,n_moshi_turns,n_turn_ends
11400,baseline,9.790322580645164,200.0,24.193548387096776,10.05,21.8,14.6,22,62
11400,probe,13.778918214402086,380.0,38.70967741935484,10.15,19.75,16.75,24,62
12750,baseline,14.704918032786885,300.0,37.704918032786885,13.5,19.0,16.2,27,61
12750,probe,14.98360655737705,190.0,45.90163934426229,9.65,17.0,14.35,29,61
8650,baseline,12.274193548387098,40.0,37.096774193548384,13.0,19.2,15.55,34,62
8650,probe,21.20967741935484,100.0,62.903225806451616,10.9,16.2,16.45,32,62
8700,baseline,26.450520833333336,270.0,78.125,14.25,18.1,21.95,36,64
8700,probe,18.972501240079364,60.0,46.875,7.55,20.2,13.15,36,64
16500,baseline,9.191489361702127,40.0,23.404255319148938,7.3,16.55,10.1,16,47
16500,probe,12.808510638297872,220.0,36.170212765957444,5.95,16.0,9.3,13,47
6300,baseline,7.043478260869565,100.0,23.91304347826087,6.2,24.4,9.45,17,46
6300,probe,11.217391304347826,330.0,39.130434782608695,7.55,24.0,11.2,17,46
1150,baseline,11.28125,1040.0,32.8125,7.05,44.35,24.3,43,64
1150,probe,0.45312500000000006,0.0,3.125,2.4,61.45,2.55,4,64
1100,baseline,9.019607843137255,150.0,15.686274509803921,5.95,55.25,8.05,15,51
1100,probe,10.901960784313724,10.0,27.45098039215686,5.75,54.9,8.2,17,51
